environment,pair,n_species,n_A,n_B,n_both,expected,enrichment,log_OR,se,fisher_p
animal-associated,P x Metal,840,541,761,494,490.1,1.008,0.2309,0.2414,0.38753557297494445
animal-associated,N x Metal,840,213,761,210,193.0,1.088,2.2675,0.5942,2.0791559622776426e-07
animal-associated,Phz x Metal,840,1,761,1,0.9,1.104,-1.1596,1.6372,1.0
freshwater/engineered,P x Metal,2059,1676,1963,1622,1597.9,1.015,1.3082,0.2142,6.552902241212809e-09
freshwater/engineered,N x Metal,2059,504,1963,497,480.5,1.034,1.461,0.396,1.452041174570984e-05
freshwater/engineered,Phz x Metal,2059,2,1963,2,1.9,1.049,-1.4025,1.5527,1.0
human-associated,P x Metal,3497,2750,3287,2643,2584.9,1.022,1.3739,0.1449,3.4306733108249714e-20
human-associated,N x Metal,3497,733,3287,713,689.0,1.035,0.9676,0.2389,7.07606630128151e-06
human-associated,Phz x Metal,3497,0,3287,0,0.0,0.0,-2.7484,2.0013,1.0
marine,P x Metal,3449,2769,2575,2095,2067.3,1.013,0.2586,0.0951,0.007839200552113972
marine,N x Metal,3449,507,2575,461,378.5,1.218,1.3674,0.16,4.228568921166013e-23
marine,Phz x Metal,3449,0,2575,0,0.0,0.0,-1.0801,2.0004,1.0
other,P x Metal,12624,9904,11779,9403,9241.1,1.018,0.9996,0.0737,5.3709388218616166e-39
other,N x Metal,12624,2793,11779,2739,2606.0,1.051,1.4902,0.1423,1.7147786374551444e-37
other,Phz x Metal,12624,29,11779,29,27.1,1.072,1.4458,1.4266,0.25938843399559763
plant-associated,P x Metal,1134,999,1074,960,946.1,1.015,1.5117,0.2882,1.2500065543577418e-06
plant-associated,N x Metal,1134,170,1074,166,161.0,1.031,0.9398,0.5244,0.06414709890213052
plant-associated,Phz x Metal,1134,5,1074,5,4.7,1.056,-0.4744,1.483,1.0
soil/rhizosphere,P x Metal,3406,2920,3302,2855,2830.8,1.009,1.3434,0.2088,1.9297704902405346e-09
soil/rhizosphere,N x Metal,3406,863,3302,843,836.6,1.008,0.3645,0.252,0.16929313066933593
soil/rhizosphere,Phz x Metal,3406,22,3302,22,21.3,1.031,0.3601,1.4333,1.0
